species_id,phylum_lat,class_lat,order_lat,family_lat,taxon_lat,name,nativeness_hu,Maximum magasság,Életforma,Szociális magatartási típus,Flóraelem besorolás,invasion_status_hu,Terjedési stratégia,Virágzás kezdete,Virágzás időtartama
255,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium lepidum C. Presl,Asplenium lepidum,őshonos,9,He,,SMO,,Lycopodium,7,2
256,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium ruta-muraria L.,Asplenium ruta-muraria,őshonos,20,He,G,CIR,,Lycopodium,7,3
257,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium scolopendrium L.,Asplenium scolopendrium,őshonos,60,He,S,CIR,,Lycopodium,7,3
258,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium septentrionale (L.) Hoffm.,Asplenium septentrionale,őshonos,15,He,G,CIR,,Lycopodium,7,3
259,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium trichomanes L.,Asplenium trichomanes,őshonos,30,He,G,KOZ,,Lycopodium,7,2
260,Pterophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium viride Huds.,Asplenium viride,őshonos,20,He,S,CIR,,Lycopodium,7,3
261,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster amellus L.,Aster amellus,őshonos,70,He,G,PON,,Epilobium,7,5
262,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster lanceolatus agg.,Aster lanceolatus,idegenhonos,130,He,A,ADV,alkalmi faj,Epilobium,8,3
263,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster laevis Willd.,Aster laevis,idegenhonos,150,He,,,özönfaj,Epilobium,7,3
264,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster linosyris (L.) Bernh.,Aster linosyris,őshonos,60,He,G,PoM,,Epilobium,7,3
265,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster novae-angliae L.,Aster novae-angliae,idegenhonos,150,He,I,ADV,özönfaj,Epilobium,7,5
266,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster novi-belgii L.,Aster novi-belgii,idegenhonos,120,He,I,ADV,özönfaj,Epilobium,7,4
267,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Aster oleifolius (Lam.) Wagenitz,Aster oleifolius,őshonos,35,He,Su,CON,,Epilobium,7,3
